quote_time,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2016-4-13,-1.014787837,0.19067243,0.194467171,-0.593785223,0.651151957
2016-4-12,-1.216320426,-0.616924949,-0.479706712,-0.610349543,0.548481073
2016-4-11,-1.115554132,-0.388923393,-0.054666814,-0.602067383,0.599816515
2016-4-8,-1.317086721,-0.560668713,-0.319416883,-0.618631703,0.497145631
2016-4-7,-0.914021542,-0.193421205,-0.078780418,-0.585503063,0.7024874
2016-4-6,-0.813255247,0.035419374,-0.544054308,-0.577220903,0.753822842
2016-4-5,-0.914021542,0.717954149,-0.088291274,-0.585503063,0.7024874
2016-4-1,-1.115554132,0.292719518,0.45916681,-0.602067383,0.599816515
2016-3-31,-1.014787837,-0.508413853,-0.336369372,-0.593785223,0.651151957
2016-3-30,-1.417853016,-0.349274708,0.442538966,-0.179638125,1.139444983
2016-3-29,-1.619385605,-0.327016555,-0.713290803,-0.199069598,1.032327721
2016-3-28,-1.115554132,-0.303274099,-0.137308033,-0.150490917,1.300120874
2016-3-25,-1.014787837,0.062979069,-0.129919981,-0.140775181,1.353679505
2016-3-24,-0.510956363,0.493089326,0.651962174,-0.092196501,1.621472658
2016-3-23,-0.813255247,-0.480530718,-0.261754465,-0.121343709,1.460796766
2016-3-22,-0.510956363,-0.073034078,-0.668078386,-0.092196501,1.621472658
2016-3-21,-0.510956363,2.158342109,1.157523639,-0.092196501,1.621472658
2016-3-18,-0.712488953,1.271852462,0.498894922,-0.111627973,1.514355397
2016-3-17,-1.014787837,-0.356979638,0.065827137,-0.140775181,1.353679505
2016-3-16,-1.014787837,0.313179534,-0.786774179,-0.140775181,1.353679505
2016-3-15,-1.51861931,-0.335035318,0.013609624,-0.189353862,1.085886352
2016-3-14,-1.619385605,-0.391970459,0.405809886,-0.199069598,1.032327721
2016-3-11,-2.022450784,-0.936871681,-0.105458092,-0.237932542,0.818093199
