quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,SA-Order2,Turn_Over-Order2
2016-09-01,1464,sh600221,3.36,3.33,3.37,3.33,day,421221.0,-4253.93,555.0,1.24253731343,-0.012012012012,3.56602362524e-05,11.2896,11.0889,11.3569,11.0889,1.77427130841e+11,18095920.4449,308025.0,1.54389897527,0.000144288432577,1.27165244957e-09
2016-08-31,1463,sh600221,3.35,3.36,3.36,3.33,day,429966.0,-145.1,555.0,1.24253731343,0.0,3.64005810263e-05,11.2225,11.2896,11.2896,11.0889,1.84870761156e+11,21054.01,308025.0,1.54389897527,0.0,1.32500229905e-09
2016-08-30,1462,sh600221,3.39,3.35,3.39,3.34,day,731984.0,-8292.71,556.666666667,1.24626865672,-0.0118343195266,6.19691857076e-05,11.4921,11.2225,11.4921,11.1556,5.35800576256e+11,68769039.1441,309877.777778,1.55318556471,0.000140051118658,3.84017997726e-09
2016-08-29,1461,sh600221,3.4,3.41,3.42,3.38,day,312236.0,-589.91,563.333333333,1.26119402985,-0.00294985250737,2.64336524686e-05,11.56,11.6281,11.6964,11.4244,97491319696.0,347993.8081,317344.444444,1.59061038093,8.70162981526e-06,6.98737982833e-10
2016-08-26,1460,sh600221,3.41,3.4,3.43,3.39,day,367258.0,-1508.12,565.0,1.26492537313,-0.00890207715134,3.10917714111e-05,11.6281,11.56,11.7649,11.4921,1.34878438564e+11,2274425.9344,319225.0,1.6000361996,7.92469776083e-05,9.66698249482e-10
2016-08-25,1459,sh600221,3.44,3.4,3.45,3.37,day,698976.0,-4994.04,561.666666667,1.25746268657,-0.0146627565982,5.917475457e-05,11.8336,11.56,11.9025,11.3569,4.88567448576e+11,24940435.5216,315469.444444,1.58121240811,0.000214996431059,3.50165157842e-09
2016-08-24,1458,sh600221,3.44,3.45,3.45,3.41,day,411328.0,2926.68,568.333333333,1.2723880597,0.0,3.48227027076e-05,11.8336,11.9025,11.9025,11.6281,1.69190723584e+11,8565455.8224,323002.777778,1.61897137447,0.0,1.21262062386e-09
2016-08-23,1457,sh600221,3.45,3.44,3.46,3.41,day,569889.0,-2143.54,568.333333333,1.2723880597,-0.00583090379009,4.82463513871e-05,11.9025,11.8336,11.9716,11.6281,3.24773472321e+11,4594763.7316,323002.777778,1.61897137447,3.39994390093e-05,2.32771042217e-09
2016-08-22,1456,sh600221,3.45,3.45,3.46,3.43,day,336247.0,-787.06,571.666666667,1.27985074627,-0.00292397660819,2.84664047119e-05,11.9025,11.9025,11.9716,11.7649,1.13062045009e+11,619463.4436,326802.777778,1.63801793272,8.54963920523e-06,8.10336197221e-10
2016-08-19,1455,sh600221,3.46,3.45,3.47,3.42,day,572349.0,-1403.15,570.0,1.27611940299,-0.00578034682081,4.84546130388e-05,11.9716,11.9025,12.0409,11.6964,3.27583377801e+11,1968829.9225,324900.0,1.62848073067,3.34124093688e-05,2.34784952474e-09
2016-08-18,1454,sh600221,3.46,3.47,3.5,3.46,day,740870.0,1501.73,576.666666667,1.29104477612,-0.00869565217391,6.27214674299e-05,11.9716,12.0409,12.25,11.9716,5.488883569e+11,2255192.9929,332544.444444,1.66679661395,7.56143667297e-05,3.93398247656e-09
