quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-02-09,1891,sz300226,39.34,40.1,40.2,39.25,day,27101.0,362.45,246.235884567,12.5399361022,-1.03825781308,-0.912562328356,-0.99848780874,-0.968776711931,-0.445852161263,0.154404747637,1.27258637009,-0.910553348524
2017-02-08,1890,sz300226,38.9,39.48,39.48,38.48,day,18816.0,493.56,241.405269762,12.2939297125,-1.10507451516,-1.00649746899,-1.10317906668,-1.09129274509,-0.709607839823,0.181273000103,1.24067667851,-0.976193166995
2017-02-07,1889,sz300226,39.45,38.95,39.45,38.7,day,18195.0,-1296.32,242.78544542,12.3642172524,-1.02155363757,-1.0867968634,-1.10754120243,-1.05628816419,-0.729377577468,-0.185525472351,1.24979373325,-0.957438933146
2017-02-06,1888,sz300226,39.0,39.5,39.73,38.73,day,14356.0,-511.06,242.973651192,12.3738019169,-1.08988890105,-1.00346730316,-1.06682793545,-1.05151481225,-0.85159339521,-0.0246028582771,1.25103696799,-0.954881537621
2017-02-03,1887,sz300226,39.17,39.06,39.44,38.65,day,9664.0,-179.99,242.471769134,12.3482428115,-1.06407335707,-1.07013095135,-1.10899524767,-1.06424375076,-1.0009647463,0.0432430142258,1.24772167535,-0.961701259021
2017-01-26,1886,sz300226,38.97,39.15,39.69,38.8,day,14274.0,-23.03,243.412797992,12.3961661342,-1.09444458528,-1.05649520513,-1.07264411645,-1.04037699105,-0.854203891968,0.0754086835647,1.25393784904,-0.948914281397
2017-01-25,1885,sz300226,38.33,38.8,39.18,38.33,day,12523.0,370.35,240.464240903,12.2460063898,-1.19163251557,-1.1095231071,-1.14680042415,-1.1151595048,-0.909947548354,0.156023687416,1.23446050483,-0.988980144619
2017-01-24,1884,sz300226,39.45,38.72,39.78,38.65,day,14838.0,-814.22,242.471769134,12.3482428115,-1.02155363757,-1.12164377041,-1.0595577092,-1.06424375076,-0.836248767924,-0.0867291599896,1.24772167535,-0.961701259021
2017-01-23,1883,sz300226,39.6,39.68,40.09,39.25,day,16959.0,-882.1,246.235884567,12.5399361022,-0.998775216406,-0.976195810721,-1.01448230648,-0.968776711931,-0.768726040799,-0.100639746347,1.27258637009,-0.910553348524
2017-01-20,1882,sz300226,38.65,39.9,40.5,38.5,day,25912.0,1279.2,241.530740276,12.3003194888,-1.14303855042,-0.942863986625,-0.954866451266,-1.08811051047,-0.483704364257,0.34227348723,1.24150550167,-0.974488236645
2017-01-19,1881,sz300226,38.13,38.78,41.96,37.49,day,26034.0,-2479.83,235.194479297,11.9776357827,-1.22200374378,-1.11255327293,-0.742575844893,-1.24881335916,-0.479820454446,-0.428061094926,1.1996499322,-1.06058721932
2017-01-18,1880,sz300226,38.11,38.15,38.85,38.0,day,15232.0,-31.79,238.393977415,12.1405750799,-1.2250408666,-1.20800349648,-1.19478391737,-1.16766637616,-0.823705649354,0.0736135047713,1.22078492272,-1.01711149539
2017-01-17,1879,sz300226,37.8,38.6,39.18,37.0,day,31837.0,-635.23,232.120451694,11.821086262,-1.27211627034,-1.13982476537,-1.14680042415,-1.32677810754,-0.295080055812,-0.050048902886,1.17934376483,-1.10235801289
2017-01-16,1878,sz300226,39.59,38.01,40.22,36.99,day,31398.0,-2448.39,232.057716437,11.8178913738,-1.00029377782,-1.22921465727,-0.995579718242,-1.32836922485,-0.309055764066,-0.421618124462,1.17892935325,-1.10321047806
2017-01-13,1877,sz300226,40.7,40.2,41.29,39.79,day,19921.0,-1330.16,249.623588457,12.7124600639,-0.831733461227,-0.897411499222,-0.839996876585,-0.882856376985,-0.67442980424,-0.192460272622,1.29496459535,-0.864520229076
2017-01-12,1876,sz300226,41.37,40.89,41.97,40.8,day,21334.0,55.16,255.959849435,13.03514377,-0.729989846708,-0.792870778194,-0.741121799644,-0.722153528291,-0.62944648815,0.0914320887993,1.33682016483,-0.778421246406
2017-01-11,1875,sz300226,41.65,41.27,42.08,40.88,day,18398.0,128.86,256.461731493,13.0607028754,-0.687470127208,-0.735297627483,-0.725127301903,-0.709424589781,-0.722915006225,0.106535362438,1.34013545746,-0.771601525007
2017-01-10,1874,sz300226,42.1,41.49,42.38,41.45,day,14602.0,-539.55,260.037641154,13.2428115016,-0.619134863725,-0.701965803387,-0.681505944429,-0.618730902894,-0.843761904935,-0.0304412879373,1.36375691746,-0.723011010035
2017-01-09,1873,sz300226,41.41,42.02,42.23,41.26,day,13502.0,-388.07,258.845671267,13.1821086262,-0.723915601065,-0.621666408974,-0.703316623166,-0.648962131856,-0.878780763887,0.000601370010387,1.35588309746,-0.739207848359
2017-01-06,1872,sz300226,42.4,41.6,42.7,41.6,day,19596.0,-1513.32,260.978670013,13.2907348243,-0.573578021404,-0.685299891339,-0.634976496457,-0.594864143187,-0.684776285294,-0.229995084014,1.36997309114,-0.71022403241
2017-01-05,1871,sz300226,42.5,42.68,43.4,42.38,day,26563.0,-693.14,265.872020075,13.5399361022,-0.558392407296,-0.521670936686,-0.533193329018,-0.47075699271,-0.462979566823,-0.0619163462564,1.4022971943,-0.643731748764
2017-01-04,1870,sz300226,40.7,43.0,44.72,40.41,day,47382.0,789.71,253.513174404,12.910543131,-0.831733461227,-0.473188283456,-0.341259356132,-0.78420710353,0.199800091831,0.241962748922,1.32065811325,-0.811667388229
2017-01-03,1869,sz300226,40.42,40.65,40.8,40.35,day,12227.0,-625.17,253.136762861,12.8913738019,-0.874253180727,-0.829232768116,-0.911245093792,-0.793753807412,-0.919370804945,-0.0479873162808,1.31817164378,-0.816782179279
2016-12-30,1868,sz300226,40.33,40.42,40.58,40.16,day,11444.0,-13.93,-76.2628180782,13.0814332248,-0.887920233423,-0.864079675126,-0.943234089273,-0.823985036375,-0.944297865453,0.0772735382474,-0.857749943261,-0.766070220028
2016-12-29,1867,sz300226,40.42,40.32,40.87,40.09,day,12962.0,51.43,-76.1298898595,13.0586319218,-0.874253180727,-0.87923050426,-0.901066777048,-0.835122857571,-0.8959718401,0.0906677033085,-0.856871856592,-0.772154100153
2016-12-28,1866,sz300226,40.46,40.32,40.72,40.11,day,9764.0,33.18,-76.1678693506,13.0651465798,-0.868178935084,-0.87923050426,-0.922877455785,-0.831940622944,-0.997781213671,0.0869277474889,-0.857122738497,-0.770415848689
2016-12-27,1865,sz300226,40.5,40.46,40.72,40.25,day,9298.0,74.99,-76.4337257881,13.1107491857,-0.862104689441,-0.858019343472,-0.922877455785,-0.80966498055,-1.01261647574,0.0954958325747,-0.858878911835,-0.758248088439
2016-12-26,1864,sz300226,40.39,40.71,40.97,39.0,day,20368.0,-528.01,-74.0600075959,12.7035830619,-0.878808864959,-0.820142270636,-0.886526324557,-1.00855464478,-0.660199413375,-0.0280764062848,-0.843198792749,-0.866888804953
2016-12-23,1863,sz300226,41.2,40.39,41.64,40.3,day,14862.0,-1115.46,-76.5286745158,13.1270358306,-0.75580539069,-0.868624923866,-0.789105292865,-0.801709393981,-0.835484720092,-0.148461997857,-0.859506116598,-0.753902459778
2016-12-22,1862,sz300226,41.62,41.39,41.8,41.0,day,13210.0,-917.47,-77.8579567034,13.3550488599,-0.69202581144,-0.717116632521,-0.765840568879,-0.690331182015,-0.888076679172,-0.107888088119,-0.868286983286,-0.69306365853
2016-12-21,1861,sz300226,41.33,41.62,41.8,41.21,day,19933.0,-793.21,-78.2567413597,13.4234527687,-0.736064092351,-0.682269725512,-0.765840568879,-0.656917718425,-0.674047780324,-0.0824235998927,-0.870921243293,-0.674812018156
2016-12-20,1860,sz300226,41.05,41.36,41.8,40.9,day,20041.0,-703.36,-77.668059248,13.32247557,-0.778583811851,-0.721661881262,-0.765840568879,-0.706242355153,-0.670609565081,-0.0640107215153,-0.867032573759,-0.701754915851
2016-12-19,1859,sz300226,41.5,41.01,41.92,41.01,day,14207.0,-1430.83,-77.8769464489,13.3583061889,-0.710248548369,-0.774689783232,-0.748392025889,-0.688740064701,-0.856336858831,-0.21309048371,-0.868412424239,-0.692194532798
2016-12-16,1858,sz300226,40.9,41.7,42.14,40.72,day,27309.0,-1191.03,-77.3262438283,13.2638436482,-0.801362233012,-0.670149062204,-0.716403030408,-0.734882466802,-0.439230413388,-0.163948488886,-0.864774636611,-0.717399179029
2016-12-15,1857,sz300226,40.31,40.88,41.44,40.15,day,23300.0,-481.11,-76.2438283327,13.0781758958,-0.890957356245,-0.794385861107,-0.818186197848,-0.825576153688,-0.566858236605,-0.0184652321513,-0.857624502308,-0.76693934576
2016-12-14,1856,sz300226,40.66,40.31,41.43,40.31,day,17493.0,-1240.32,-76.5476642613,13.1302931596,-0.837807706869,-0.880745587174,-0.819640243097,-0.800118276668,-0.751725976544,-0.174049443535,-0.859631557551,-0.753033334046
2016-12-13,1855,sz300226,42.0,40.95,42.0,40.0,day,31443.0,-1065.75,-75.9589821496,13.0293159609,-0.634320477833,-0.783780280713,-0.736759663896,-0.849442913396,-0.307623174382,-0.138274972992,-0.855742888018,-0.779976231742
2016-12-12,1854,sz300226,45.91,41.63,45.92,41.63,day,41560.0,-3800.33,-79.0543106722,13.5602605863,-0.0405629662397,-0.680754642598,-0.166773926236,-0.590090791245,0.0144548219963,-0.698669952992,-0.876189763305,-0.638308737407
2016-12-09,1853,sz300226,45.62,46.25,46.25,45.06,day,27726.0,-1291.96,-85.5677933916,14.67752443,-0.0846012471506,0.0192136634148,-0.118790433015,-0.0443375526101,-0.425955082313,-0.184631981536,-0.919216010076,-0.340198611291
2016-12-08,1852,sz300226,46.85,45.76,46.85,45.53,day,32660.0,-2332.69,-86.4603114318,14.8306188925,0.102181806368,-0.0550253993442,-0.031547718067,0.0304449611388,-0.268879582251,-0.397907829212,-0.925111734853,-0.299349701882
2016-12-07,1851,sz300226,46.35,46.85,47.41,46.01,day,19184.0,-391.64,-87.3718192176,14.986970684,0.0262537358322,0.110118638222,0.0498788158844,0.106818592201,-0.697892439737,-0.000130226826642,-0.931132900582,-0.25763166674
2016-12-06,1850,sz300226,46.58,46.35,46.7,46.01,day,14683.0,-219.93,-87.3718192176,14.986970684,0.0611806482788,0.0343644925493,-0.053358396804,0.106818592201,-0.841183243503,0.0350581465308,-0.931132900582,-0.25763166674
